County,Killed
Adams,1
Alamosa,0
Arapahoe,0
Archuleta,0
Baca,0
Bent,0
Boulder,1
Broomfield,0
Chaffee,2
Cheyenne,0
Clear Creek,4
Conejos,1
Costilla,0
Crowley,0
Custer,0
Delta,0
Denver,0
Dolores,0
Douglas,0
Eagle,5
El Paso,0
Elbert,0
Fremont,0
Garfield,1
Gilpin,0
Grand,3
Gunnison,6
Hinsdale,0
Huerfano,0
Jackson,1
Jefferson,1
Kiowa,0
Kit Carson,0
La Plata,3
Lake,2
Larimer,0
Las Animas,1
Lincoln,0
Logan,0
Mesa,1
Mineral,1
Moffat,2
Montezuma,0
Montrose,0
Morgan,0
Otero,0
Ouray,3
Park,0
Phillips,0
Pitkin,5
Prowers,0
Pueblo,0
Rio Blanco,0
Rio Grande,1
Routt,0
Saguache,0
San Juan,8
San Miguel,2
Sedgwick,0
Summit,9
Teller,0
Washington,0
Weld,0
Yuma,0