County,PrimaryActivity,Killed
Boulder,1,1
Routt,2,1
San Miguel,2,1
Gunnison,3,1
Summit,4,2
Jackson,2,1
La Plata,5,1
Chaffee,6,1
Clear Creek,2,1
Grand,6,1
Eagle,5,1
San Juan,2,3
Denver,2,1
San Juan,2,2
Gunnison,2,1
Gunnison,2,1
Summit,2,1
Eagle,6,2
Ouray,1,1
Larimer,2,1
Gunnison,3,1
Clear Creek,7,1
San Miguel,2,1
San Miguel,2,1
Gunnison,2,2
Pitken,2,1
Ouray,2,1
Summit,6,1
Pitken,5,1
San Juan,2,1
Garfield,8,1
Chaffee,8,1
Mineral,6,1
Clear Creek,2,1
Summit,6,1
Clear Creek,1,1
Pitken,5,1
San Juan,2,1
Clear Creek,1,1
Montezuma,6,1
Elbert,9,1
Lake,2,2
Summit,5,1
Gunnison,6,1
Eagle,5,1
Jackson,2,1